2018-01-25 00:45:53 status unpacked libboost-system1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 install libboost-filesystem1.58.0:amd64 <none> 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status half-installed libboost-filesystem1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-filesystem1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-filesystem1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 install libboost-program-options1.58.0:amd64 <none> 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status half-installed libboost-program-options1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-program-options1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-program-options1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 install libboost-thread1.58.0:amd64 <none> 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status half-installed libboost-thread1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-thread1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-thread1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 install libhtml-tagset-perl:all <none> 3.20-2
2018-01-25 00:45:53 status half-installed libhtml-tagset-perl:all 3.20-2
2018-01-25 00:45:53 status unpacked libhtml-tagset-perl:all 3.20-2
2018-01-25 00:45:53 status unpacked libhtml-tagset-perl:all 3.20-2
2018-01-25 00:45:53 install liburi-perl:all <none> 1.71-1
2018-01-25 00:45:53 status half-installed liburi-perl:all 1.71-1
2018-01-25 00:45:53 status unpacked liburi-perl:all 1.71-1
2018-01-25 00:45:53 status unpacked liburi-perl:all 1.71-1
2018-01-25 00:45:53 install libhtml-parser-perl:amd64 <none> 3.72-1
2018-01-25 00:45:53 status half-installed libhtml-parser-perl:amd64 3.72-1
2018-01-25 00:45:53 status unpacked libhtml-parser-perl:amd64 3.72-1
2018-01-25 00:45:53 status unpacked libhtml-parser-perl:amd64 3.72-1
2018-01-25 00:45:53 install libcgi-pm-perl:all <none> 4.26-1
2018-01-25 00:45:53 status half-installed libcgi-pm-perl:all 4.26-1
2018-01-25 00:45:53 status unpacked libcgi-pm-perl:all 4.26-1
2018-01-25 00:45:53 status unpacked libcgi-pm-perl:all 4.26-1
2018-01-25 00:45:53 install libfcgi-perl:amd64 <none> 0.77-1build1
2018-01-25 00:45:53 status half-installed libfcgi-perl:amd64 0.77-1build1
2018-01-25 00:45:53 status unpacked libfcgi-perl:amd64 0.77-1build1
2018-01-25 00:45:53 status unpacked libfcgi-perl:amd64 0.77-1build1
2018-01-25 00:45:53 install libcgi-fast-perl:all <none> 1:2.10-1
2018-01-25 00:45:53 status half-installed libcgi-fast-perl:all 1:2.10-1
2018-01-25 00:45:53 status unpacked libcgi-fast-perl:all 1:2.10-1
2018-01-25 00:45:53 status unpacked libcgi-fast-perl:all 1:2.10-1
2018-01-25 00:45:53 install libencode-locale-perl:all <none> 1.05-1
2018-01-25 00:45:53 status half-installed libencode-locale-perl:all 1.05-1
2018-01-25 00:45:53 status unpacked libencode-locale-perl:all 1.05-1
2018-01-25 00:45:53 status unpacked libencode-locale-perl:all 1.05-1
2018-01-25 00:45:53 install libfontconfig1:amd64 <none> 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status half-installed libfontconfig1:amd64 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status unpacked libfontconfig1:amd64 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status unpacked libfontconfig1:amd64 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 install libjpeg8:amd64 <none> 8c-2ubuntu8
2018-01-25 00:45:53 status half-installed libjpeg8:amd64 8c-2ubuntu8
2018-01-25 00:45:53 status unpacked libjpeg8:amd64 8c-2ubuntu8
2018-01-25 00:45:53 status unpacked libjpeg8:amd64 8c-2ubuntu8
2018-01-25 00:45:53 install libtiff5:amd64 <none> 4.0.6-1ubuntu0.2
